symbol,price,action_day,time,volume,turnover,bsflag,record_id,order_kind,function_code,ask_order_id,bid_order_id,channel,direction,datetime
000004.SZ,13.040000,20240308,95213970,200,2608,66,7974336,0,48,7548056,7974335,2013,1,20240308095213970
000004.SZ,13.040000,20240308,95213970,100,1304,66,7974338,0,48,7548056,7974337,2013,1,20240308095213970
000004.SZ,13.040000,20240308,95213980,100,1304,66,7974351,0,48,7585974,7974350,2013,1,20240308095213980
000004.SZ,0.000000,20240308,95215010,200,0,32,7977279,0,67,0,7882862,2013,0,20240308095215010
000004.SZ,13.040000,20240308,95215170,300,3912,66,7978058,0,48,7585974,7978057,2013,1,20240308095215170
000004.SZ,0.000000,20240308,95215200,1000,0,32,7978145,0,67,0,7971718,2013,0,20240308095215200
000004.SZ,0.000000,20240308,95215920,200,0,32,7980724,0,67,0,6472607,2013,0,20240308095215920
000004.SZ,0.000000,20240308,95218040,1600,0,32,7987373,0,67,4776890,0,2013,0,20240308095218040
000004.SZ,0.000000,20240308,95218700,2500,0,32,7989747,0,67,0,6793701,2013,0,20240308095218700
000004.SZ,13.030000,20240308,95218740,400,5212,83,7989932,0,48,7989931,7970134,2013,2,20240308095218740
000004.SZ,0.000000,20240308,95218800,100,0,32,7990121,0,67,0,7819885,2013,0,20240308095218800
000004.SZ,0.000000,20240308,95219630,500,0,32,7993122,0,67,0,7797786,2013,0,20240308095219630
000004.SZ,0.000000,20240308,95219970,100,0,32,7994114,0,67,0,7974318,2013,0,20240308095219970
000004.SZ,13.040000,20240308,95219980,100,1304,66,7994134,0,48,7585974,7994133,2013,1,20240308095219980
000004.SZ,13.040000,20240308,95221310,500,6520,66,7998580,0,48,7585974,7998579,2013,1,20240308095221310
000004.SZ,13.040000,20240308,95221310,100,1304,66,7998581,0,48,7610597,7998579,2013,1,20240308095221310
000004.SZ,13.040000,20240308,95221310,1300,16952,66,7998582,0,48,7622788,7998579,2013,1,20240308095221310
000004.SZ,13.040000,20240308,95221310,300,3912,66,7998583,0,48,7784926,7998579,2013,1,20240308095221310
000004.SZ,13.040000,20240308,95221310,2000,26080,66,7998584,0,48,7979932,7998579,2013,1,20240308095221310
000004.SZ,0.000000,20240308,95221780,300,0,32,8000191,0,67,7563331,0,2013,0,20240308095221780
000004.SZ,13.040000,20240308,95222910,300,3912,66,8003693,0,48,7979932,8003692,2013,1,20240308095222910
